,emotion,labels_clean
3001,annoyed,Not really but he just did it for the fun of it or something
3031,annoyed,That must be really annoying What were they late to this time
3032,annoyed,4 hours late Totally unacceptable But hey at least you live near a beach
3033,annoyed,Just an evening beach plan They were nearly 4 hours late this time
3073,annoyed,Thats horrible I mean if you have a job at least make the effort to get there on time
3074,annoyed,Sorry to hear that I guess your boss must have been feeling the same as you were about the nanny
3075,annoyed,Exactly The worst part is that I got into so much trouble with my boss and we almost lost the client
3076,annoyed,Yes I guess he was but the difference is I was calling in and updating them on where I was I had to call her and she had the nerve to have an attitude too
3163,disgusted,Honestlythats very true
3164,disgusted,Thats the way he iscan u imagineso ungodly show
3165,disgusted,Such abhorrent arrogance and ungodly show on his part 
3196,angry,Sweet words like what
3197,angry,oh Meditating works Unless you fall asleep and have a nightmare
3198,angry,Like sweet namespampering
3221,angry,Thats horrible how could they get it wrong
3222,angry,They should pay you for the time you spend on sorting it out
3223,angry,I dont now but I hate when they do that now I have to call or write and lose a ton of time solving it
3236,angry,some friend Maybe hes insecure and thought you or her were flirting
3237,angry,well then he shouldnt have jumped to conclusions Things arent always what they seem
3238,angry,yes but were just planning  a surprise birthday party for my friend
3249,annoyed,I dont think you are alone there What do you find so irritating about it
3250,annoyed,I know what you mean All the people seem to be the same types  fame hungry narcissists
3251,annoyed,Well its supposed to be reality but seems so fake
3262,annoyed,I absolutely feel the same way It is a rare trait but there are few people who do better on tasks on their own than as group task 
3263,annoyed,Yes that too Or does not contribute as much like they should ie critical thinkingparticipatory contributions
3264,annoyed,Hah 
3265,annoyed,True I dislike when other people dont do their job and makes everyone work harder
3266,annoyed,exactly Id rather do eveything so I know who to blame lol
3286,disgusted,haha Ye like its normal to them Nasty
3287,disgusted,hey eating dogs are normal to some sick
3288,disgusted,Yes it is just normal to them
3299,disgusted,I consider myself a foodie now Im skinny but I love food
3300,disgusted,oh noo
3301,disgusted,I would try anything until I had escargot on a cruise and it was awful
3302,disgusted,oh yes dont do it lol
3323,angry,What meal do you speak of Breakfast Lunch Dinner Midnight snack
3324,angry,That is awful What happened to the fly Did you manage to shoo it away or end its poor miserable life
3325,angry,it was lunch and there was a big fly starring at me dead Luckily I was attentive enough 
3393,disgusted,That sounds so frightening Was your husband helpful
3394,disgusted,I agree I would have been screaming too And I would have been annoyed at my husband for laughing
3395,disgusted,No He just sat there laughing as I screamed for him to find that lizard Reptiles are gross to me 
3425,annoyed,Really
3426,annoyed,Network do disappoint
3427,annoyed,Its really fast but it cuts off a couple of times a day and we only have a couple of providers in this area
3454,disgusted,I live in an apartment so I take mine out to the dumpster every few weeks I feel your pain though Growing up I had to take ours down our steep driveway every week
3455,disgusted,It is daunting I think I still have nightmares about it I feel dirty just thinking about it right now
3456,disgusted,I know Its physically exhausting And when the flies start swarming I get terrified and feel like I am going to come down with the bubonic plague
3469,angry,Money issues are always hard
3470,angry,Well you should look into that
3471,angry,Its not that My apartment is crappy and Id rather be paying for a home
3472,angry,I am I want a bigger family and we cant fit in here lol
3473,annoyed,Oh no I hope you are ok
3474,annoyed,Things happen we cant do anything about it I hope this accidently wont affect you in the long term
3475,annoyed,Luckily insurance paid but my time was wasted 
3492,angry,Oh that is frustrating I love Chinese food What did you order
3493,angry,Crab rangoon is one of my favorites I would be bummed too I think I know what I am having for dinner tonight
3494,angry,Me too I was pretty bummed about it though I ordered the general tso meal and krab rangoons 
3544,annoyed,OH no I didnt have that problem in MExico
3545,annoyed,It was two years ago I cant remember where We stayed on the beach all day
3546,annoyed,You were lucky When did you went Which city did you go to
3553,angry,I can see why you feel that way Sometimes addicts arent in full control of their decisions though
3554,angry,I think you have a right to be mad over that 
3555,angry,yeah but there is always a time and a place and if i invite my bestfriend to have a good night and he decides to do his own thing it annoys me as i hate seeing him like that and after that i felt the night was just ruined 
3556,angry,do know anything i can do to stop him 
3557,disgusted,wow i would have felt some type of way to what did you do after 
3558,disgusted,yea or be there next time she makes dinner and give her tips eating raw chicken is very bad
3559,disgusted,I cant yell at her for it she is getting up in age and is trying her best I gently reminded her that chicken needs to be cooked to 165 degrees and if she doesnt have a meat tempature checker Id get one for her
3563,annoyed,Oh no Is there a lot of parking available
3564,annoyed,I agree I had an apartment with limited parking and people that didnt live there always parked there anyway
3565,annoyed,It a small complex and visitor parking is far Thats where they should park though Its annoying
3587,annoyed,Oh no thats so gross Do you know what
3588,annoyed,My landlord has the same issue 
3589,annoyed,Yes same for me just have to fix up the credit score a bit more ha
3590,annoyed,I have lived here so long and every new team is th same
3591,annoyed,I hope to move next year Time for a house
3592,annoyed,ME too lol
3612,disgusted,Ewww I havent done that in a while Thankfully
3613,disgusted,They sure do Isnt it the law
3614,disgusted,Im glad for you people need to clean up after their animals
3657,annoyed,That has to be disappointing Can you change your plans
3658,annoyed,Now you have something to look forward to
3659,annoyed,Yes I had to He had my vacation shorter
3669,disgusted,Oh no I would have been so disgusted And mad
3670,disgusted,That sounds awful I hope you filed a complaint with the restaurant  
3671,disgusted,I was both I almost went to the hospital because i had gotten sick later but it didnt last very long 
3672,disgusted,I surely did I will never eat there again
3682,angry,Oh no why were you fighting
3683,angry,Im glad you guys could just shrug it off But I imagine you guys were pretty mad during to break out into a fist fight
3684,angry,we were just arguing whether its a goal or not while playing soccer We laughed it off with beer at the end though
3705,disgusted,I hate that It makes it really hard to want to go home
3706,disgusted,That would be good for you Maybe you will get some good neighbors then
3707,disgusted,We share a stairwell and they always leave trash on it The always get notices about rent so maybe they will be evicted soon
3708,disgusted,I hope so Or none
3712,annoyed,That is bad I hope you found a solution with him
3713,annoyed,You can sue him
3714,annoyed,He always lies but I know hes just gambling He needs to find his own solution Get help
3715,annoyed,He couldnt handle it I feel bad for him
3727,disgusted,Nice did you become sort of a nature girl after that experience Or were you just traumatized haha
3728,disgusted,Thats pretty cool  So Im guessing youre more of a city gal
3729,disgusted,No haha not traumatized but happy to move in to a real apartment once we had enough money saved haha 
3779,annoyed,Oh I know what you mean It is even worse when you ask for their manager and the manager gives you a major tude
3780,annoyed,Right They can go get a job as a garbage collector if they want to act that way
3781,annoyed,Their only job is to service the customer Why do they make it so hard I didnt force them to apply for that job Sheesh
3782,annoyed,They can even be nice though lol
3809,disgusted,Oh no I opened an expired can a long time ago I check everything twice now
3810,disgusted,You can get them back now
3811,disgusted,Yeah I always check but Im dissapointed that I didnt notice to point it out to get back at them for trying to prank me It wasnt even funny
3887,disgusted,ive had hundreds I know my toilet well
3888,disgusted,Man thats gross I would have freaked out
3889,disgusted,Well my friend decided in the car with windows all open to throw up on me one night
3911,annoyed,Oh no Its hard to get mad at them when there really isnt anything you can do about it now
3912,annoyed,Maybe a car dealership could help
3913,annoyed,I kept my cool with him but I am a little frustrated over it I have no idea how to clean it up
3946,annoyed,Wow What was taking so long
3947,annoyed,I bet you were annoyed Hopefully it didnt make you late to anywhere you needed to be
3948,annoyed,It was just a mob of people getting frappacinos I thought mine would be spoiled by the time I got it
3980,angry,Oh man That must have been nerve wrecking
3981,angry,were they on the phone
3982,angry,they were not paying attention 
4015,annoyed,Oh that can be annoying sometimes I hope theyre not too serious
4016,annoyed,Oh well that doesnt sound too bad I hope he gets some in return though
4017,annoyed,Nah theyre just stupid things like moving stuff around putting wacky sticky notes on your desk changing your desktop wallpaper etc
4049,annoyed,So did you go to her dinner or do what you had planned
4050,annoyed,I find that they dont respect you until you start telling them no
4051,annoyed,I went to the dinner and then left a little early to go out She wasnt happy but maybe next time she will plan better
4052,annoyed,Thats what I have found too She needs to realize I am an adult
4098,annoyed,That sucks 
4099,annoyed,My kids are taking a nap now The run this house lol
4100,annoyed,Yes it does They are bored Im sure But I cant take them anywhere until later
4101,annoyed,Kids have a terrible way of doing that
4105,angry,Ugh oh no is there someway you can have the person who sent it call the gift card to see what can be done 
4106,angry,True true well im glad they are looking into it for you I hope they find it 
4107,angry,I dont want to bother her about it but i did call usps and they will investigate it
4114,annoyed,Oh no are they in trouble lol 
4115,annoyed,Maybe tomorrow morning you should wake them up super early as a surprise p
4116,annoyed,no They are sleep and I can get some things done
4117,annoyed,Sounds like a plan
4184,annoyed,That sucks what are they doing 
4185,annoyed,I know there probably isnt much you can do  I hope it gets better 
4186,annoyed,Theyve been here a week and they are so loud
4258,annoyed,I understand that Mine has one too and it gets frustrating
4259,annoyed,Yeah of course I just dont even talk to him when he has them on I gave up
4260,annoyed,He always has those headphones on and cant hear anything I say ever
4287,disgusted,yum sounds good whats your fav toppings 
4288,disgusted,o uhhh oh you had to pick them off 
4289,disgusted,Everything but black olives When I got the pizza home It had black olives on it
4290,disgusted,Yes Luckily it was completely covered I was pretty upset still
4301,annoyed,That would certainly make me upset too was it your neighbors
4302,annoyed,Very annoying I would consider getting the police to pay a visit even
4303,annoyed,Their guests playing music from their car Sor rude
4304,annoyed,They just moved here I will let them know when I meet them officially I cant take it
4312,angry,That is a shame  I hear that is happening a lot in schools today
4313,angry,They dont have time for all that  They are trying to teach
4314,angry,Its frustrating we expect schools to protect our children and yet they dont take any action
4318,angry,Thats really annoying Did you send it back to the kitchen
4319,angry,I think youll probably be fine but that dosent mean your lunch isnt ruined
4320,angry,Are you going to reorder from some where else
4321,angry,You could always just go the sushi route from now on  You cant udner cook it
4322,angry,I had it delivered I complained though I almost went to the hospital
4323,angry,Thats true I wont order there again
4324,angry,I am only going to order chicken in person now lol
4331,annoyed,Were you able to get it off of your shoe
4332,annoyed,Keep working at it youll get it all Try ice on it to harden the gum first
4333,annoyed,Only some of it 
4334,annoyed,Thats a good idea  My biggest problem was trying to get most of it off with nothing on me   I had to drive home and didnt want gum all over my truck
4398,annoyed,Wow thats absurd Of course its the ONE thats impotrant
4399,annoyed,Thats always so awful Its too bad it wasnt something you bought with a credit card and could just dispute it
4400,annoyed,exactly And there is no way to track it because my friend who sent it didnt get a tracking number
4441,annoyed,I hate when that happens
4442,annoyed,Im happy for you I have been in that situation before
4443,annoyed,I know Luckily the email was saved in my drafts but my computer was still slow afterwards 
4516,angry,Wao how did you felt did you work hard in that project
4517,angry,IWhat was your project about it was for school or something
4518,angry,I really did Im furious
4529,angry,Oh no What happened
4530,angry,I havent tried uber for important places Not I know to be weary So sorry to hear that
4531,angry,my uber was super late I was written up too
4532,angry,Its my only one though Im alsways on time for work
4547,disgusted,Oh wow That is not something you hear everyday
4548,disgusted,Your friend must really like the woman 
4549,disgusted,yea Not many people would make a stupid decision like that
4553,angry,What situation
4554,angry,Oh wow Kid is crazy
4555,angry,He would drink bleach That really made my blood boil
4559,disgusted,Thats so bad You must be feeling bad
4560,disgusted,I am surprised at their behavior Did you ask for a refund
4561,disgusted,I took it back and they had the nerve to ask me if I wanted another one
4592,angry,Oh no Are they even allowed to do that
4593,angry,That really sucks I hate how employers expect us to work to death
4594,angry,I dont think I have a choice Otherwise I lose my job
4656,disgusted,thats awkward where was it
4657,disgusted,from what you have told i cant go there what else did you see 
4658,disgusted,It was at a Korean restaurant we were trying out Never going there again
4659,disgusted,Are you sick What happened
4660,disgusted,Thats terrible I hope you get some rest
4661,disgusted,i got flu not good for me
4662,disgusted,yeah thank lol
4710,annoyed,Did you say something
4711,annoyed,Did you say anything to the clerk
4712,annoyed,Did you say something to the clerk
4713,annoyed, I was returning an item at a store and the person in front of me had a whole cart of items to return and was taking forever
4714,annoyed,No I think I was more bothered by the fact that they did not open up another line
4724,annoyed,What about 3
4725,annoyed,I have never been to Asia
4726,annoyed,i thought so it done in asia
4730,annoyed,That isnt very nice
4731,annoyed,What about 4
4732,annoyed,4
4746,annoyed,Was it something that you could ignore
4747,annoyed,What did you do
4748,annoyed,It was impossible to ignore
4808,annoyed,Tell him to get out and do something That must be frustrating 
4809,annoyed,Its hard being a parent but i am sure you are doing it right 
4810,annoyed,Well he pays rent but he definitely uses up more resources than he pays for 
4811,annoyed,Well I try I moved to Alabama after the divorce and the kids hate it here
4817,annoyed,Oh wow sorry to hear that was really rude of her
4818,annoyed,Some people can take things so far I hate it when they do that
4819,annoyed,I am the type of person that gets what I have to buy and get out of the store 
4820,annoyed,that was very stupid of her  it seemed kind of racist to me
4821,annoyed,that store is notorious for rude shoppers though
4915,angry,Oh no was anoyone hurt
4916,angry,That is good news I hope your car is ok
4917,angry,Thankfully no 
4918,angry,I have to get an estimate soon but it is still driveable
4978,angry,Oh no did the relative say what happened That sounds fishy
4979,angry,Its an easy mistake to make were supposed to trust family you know
4980,angry,That he got out and he was unable to find him  Things are known to go missing when my brother in law is around  We should have known better
4994,disgusted,Oh very interesting Im not a fan of the owner either Why do you feel that way though
