,emotion,labels_clean
1089,sad,Thats tragic I havent had to deal with anything like that yet
1090,sad,I hope so too and I hope that you dont have to deal with anything like that anytime soon
1091,sad,I am happy for you I hope that continues
1152,lonely,Sorry to hear that Do you have more firends now
1153,lonely,Great
1154,lonely,I do luckily and a great girlfriend so things work out in the end
1191,lonely,Im sorry to hear that Happy Birthday Hope you didnt eat the entire cake LOL
1192,lonely,I decided not to celebrate birthdays anymore now that Im old
1193,lonely,Maybe next year will be better 
1194,lonely,I wish I did enjoy a good dinner but it would have been nice if others were around to celebrate
1195,lonely,Well I like to think of it as an excuse to meet friends and family Too bad I was away from family that day
1244,lonely,yes especially if you travel a lot and for a long time Is it for work
1245,lonely,Where do you go the most
1246,lonely,That is nice I wish I can go to those countries
1247,lonely,Yeah its mainly for client site assignments that I have to travel 
1248,lonely,Its always interesting to travel to Europe or the Western countries because you have a lot more to do However quite often I have been travelling to Africa as well
1285,lonely,Oh man Thats rough Im sorry Are friends helping
1286,lonely,Friends I know who have been through rough breakups often say that physical activity helps That and time But still  its difficult
1287,lonely,They are trying but they all are in relationships right now so it is very difficult
1314,lonely,That is terrible Did you feel lonely
1315,lonely,How long did you stay alone
1316,lonely,Yes  I tried distracting myself with tv and internet but i kept thinking of them
1317,lonely,Till they returned home  It was really a fairly bleak experience and one which i am not anxious to repeat
1361,sad,Thats unfortunate It is a difficult decision to make Sometimes we are put in those situations and they take a toll on us
1362,sad,I hope he is in a better place now How did you have Blackjack for
1363,sad,So you all had relatively all his life Yes it was the right thing to do Did you get another pet instead
1364,sad,He was 15 and his kidneys were failing It was really hard for me and my kids
1365,sad,Since he was 4 months old It was so hard but the right thing to do
1381,sad,Thats unfortunate Do you like her
1382,sad,I am sorry Did you set up another day to hang out
1383,sad,Of course shes my best friend  I just feel bad that I had to bail on her for the third time in a row
1384,sad,Im taking her out to breakfast when she gets off work Sunday morning  Time to see what this IHOB is all about
1400,sad,I am sorry to hear thatI hope she gets better
1401,sad,That is horrible newsYour family should make sure she gets comfortable on her last moments
1402,sad,She wont It is stage 4 liver cirrhosis Im pretty distraught about it
1450,sad,That is such a stressful thing to come home to
1451,sad,I am so sorry you had to go through that
1452,sad,Yes Not only did I have to pay 1400 for a new one I had to throw away all my food 
1497,lonely,Why didnt you have any friends 
1498,lonely,What games did you play at the time
1499,lonely,Well i was socially awkward due to my learning disability at the time I would also just sit at my computer and play games
1569,sad,Im sorry to hear that You two were close
1570,sad,I did the same with mine I lived with her during the summers and went home when school started back
1571,sad,Yes I visited her every summer
1662,lonely,Why is that Is there something wrong with you
1663,lonely,You should work on thatBe a better version of yourself
1664,lonely,I do not think so but I am shy
1677,sad,really I could not care less
1678,sad,I am more like a rock and roll type of guy myself
1679,sad,Yes I love their music
1699,sad,Oh Im so sorry to hear that I know how hard that can be for the family as well Is he able to get treatments
1700,sad,Well I cant relate to some extent My father passed away 2 years unexpectedly It wasnt from cancer and we actually never thought he was going to pass away that day when he went to the hospital But its very hard to lose loved ones
1701,sad,He had surgery but it was too advanced  He was sick for 9 months and passed away when our daughter was 18 months old  Shes 18 now so hes been gone for a little over 16 years now
1716,sad,Im so sorry That must have been so painful for you Were you close
1717,sad,My heart hurts for you Thats such a terrible loss
1718,sad,Yes he was my best friend
1735,sad,That is an awesome achievement Was it for high school or college
1736,sad,I never played any sports in high school I always had to work That is a great accomplishment
1737,sad,It was in high school
1801,sad,I know how that can be such a struggle  How long has it been and why did it end
1802,sad,Everyone makes mistakes we live and learn I guess  If there is no hope of her taking you back then you have to find a way to move forward but take the time you need to grieve as it is a loss
1803,sad,Thanks  I messed it up by cheating on her  Its been 5 months
1804,sad,Thanks
1815,sad,Sorry to hear that  My grandmother is all I have left Grandpa passed 1 month ago
1816,sad,How old are your daughters
1817,sad,My grandpa passed a few years after she did  Theyd been married for 70years  Neither of them were able to get to know my daughters very much at all
1839,sad,Oh that is SO hard It sounds like she had a long and happy life Im sure you miss her so much
1840,sad,What kind of dog was she 
1841,sad,Absolutely she was my favorite pet I ever had
1897,sad,Oh no Im so sorry to hear that
1898,sad,You sound really mature about it Cant say that about a lot of people
1899,sad,Its okay it was time for us to move on
1900,sad,Thank you It hasnt always been easy
2007,lonely,Uhmmnnnthat could have been really emotional for you
2008,lonely,I understand Ive been there toohope your getting through
2009,lonely,Oh yea it was  It still bothers me Nobody should go through that by themselves 
2164,lonely,I hear you I was college roommates with my sister and now we live hours apart
2165,lonely,That is so awesome to hear Thanks to cars and everything an hour is nothing nowadays Especially when you can put portable DVD players in there for the kids
2166,lonely,Its hard We have kids that are the same age too But we maker it work
2167,lonely,No joke So many conveniences
2176,lonely,Oh I am sorry to hear that Are you doing okay
2177,lonely,I am worried about you I hope that you will have someone to talk to 
2178,lonely,NoI am very depressed and suicidal
2191,lonely,I am sorry to hear that Are you doing better now
2192,lonely,I like keeping busy too It really helps me stay sane
2193,lonely,Yes that was some time ago Im mostly too busy to fill lonely and around people a lot
2194,lonely,Yes so what are the things on your schedule typically
2245,sad,In what way are you fearful Ive never thought about that before
2246,sad,I am 42 40 didnt bother methere is nothing you can do about the aging process I just try to take getting older in stride
2247,sad,Turning 40 is one step closer to being older and makes me think about old age more
2261,sad,I am so sorry to hear that Is it related to your work
2262,sad,I see Well this is how democracy works and we will have to accept it
2263,sad,No i am sad because of president Trump
2295,lonely,I am sorry to heard thatHow long were you together
2296,lonely,I agree with youI was lonely for a whole year
2297,lonely,For about 3 years since college Loneliness is the worst that could happen to a human being
2319,sad,Oh no How disappointing Hopefully you didnt cut yourself
2320,sad,Oh well at least that is a plus 
2321,sad,No it was a fairly clean cut down the middle Not shattered or anything
2334,sad,Oh no I am so sorry That is so hard My daughters cat got run over like a week after we had him  What was your dogs name
2335,sad,Doodles Thats a cute name Im sorry about your dog 16 Years sounds like a good long life
2336,sad,Ugh that happened to me before as well with another dog  Her name was Doodles
2337,sad,Yeah  She had diabetes and we had to give her insulin  And she was blind for 4 years so I guess it was time
2356,lonely,Oh thats too bad How long before they get home
2357,lonely,Oh well hopefully it goes quick for you but at least they will have a good trip which is nice
2358,lonely,I hope it goes okay and for you the time passes fast 
2359,lonely,Theyll be gone for 7 days and 6 nights
2360,lonely,Thats so true I think they will have fun but I will miss them being all alone in the house 
2361,lonely,thanks
2401,sad,Oh wow Im so sorry to hear that Was this an all the sudden thing or has he been in poor health
2402,sad,Its so hard how that usually is the case Never deserved Is his surgery scheduled soon
2403,sad,Im really sorry I cant imagine what youre going through Ill be praying that he will get his lungs ASAP and that in the meantime youll feel at peace
2404,sad,Youre welcome 
2405,sad,It has been happening gradually over a number of years he has a genetic form of COPD and has never smoked or done anything to deserve this
2406,sad,He just got put on the list for the transplant so now he has to wait until its his time
2407,sad,Thank you so much I appreciate your prayers
2408,sad,Thats so sad I just had a cat disappear its quite sad
2409,sad,We thought it mightve been hunted by coyotes since we live close to the woods Pretty crazy
2410,sad,Yea they like to leave when they are dying to try and heal but it is very depressing when they are just gone
2459,lonely,My same exact sentiments it can be lonely out here
2460,lonely,Get registered to some of these dating sites
2461,lonely,What do you think i can do about it I need some help
2582,sad,That is bad news and hard to deal with
2583,sad,I sure hope you have a wonderful next Holiday trip very soon
2584,sad,yeah Waiting for the next holiday
2585,sad,thank you have a nice day
2605,lonely,This is how you deal with such peopleput him off Reprimand such bad behaviors
2606,lonely,You joined the groupdont complain next time lol
2607,lonely,You are probably right however I didnt  I just joined in the conversation for a few minutes and then they left
2633,sad,The news can be so sad That is horrible that that occurred
2634,sad,People need to step up and start helping others I will pray too
2635,sad,I know it made me feel really terrible I wanted to do something to help but all I could do is spread the news and encourage people to pray 
2636,sad,Agreed and I am glad to hear it Hopefully itll improve soon
2789,lonely,Im sorry to hear that it bothers you in a negative way I love being alone Im an introvert
2790,lonely,No you wontEnjoy your peace while you have it You can always go out or join an interest group
2791,lonely,Lucky you  I am very social so it is hard for me sometimes  Hopefully I wont have to deal with it forever
2796,lonely,Oh my that must be very lonely Dont you get home sick
2797,lonely,I totally understand and I know you must feel sad sometimes Would you get to see them soon
2798,lonely,I do but the pay is good and I need the money
2862,lonely,How convenient that was My daughter would love that
2863,lonely,I can understand that Is it better for you this year
2864,lonely,It was nice having no roommate but it got a bit lonely after a while wouldve been nice to have more friends on campus
2865,lonely,I didnt have a roommate this year either but I had more people there that I knew so it was better
2971,lonely,Sorry to hear that What was the dispute about
2972,lonely,I understand It should have been not easy
2973,lonely,Well I was quite young at the time with no one I can relate to It was very difficult to decipher it was more of feud between aunts and uncledad The life of poppop was especially not easy on them
2974,lonely,I suppose it has to more with how rough life poppop had and its impacts on them 
3139,sad,What stuff 
3140,sad,Who stole them 
3141,sad,Goldchains and other stuff
3206,sad,Cox a poor man is automatically an Angry man
3207,sad,For sure  I love working for my money
3208,sad,Exactlythats why its good to work
3239,sad,oh no sorry to hear that
3240,sad,Pets are family We still want them to be around no matter what
3241,sad,Thank you he was old but still
3293,sad,oh no why
3294,sad,That sucks I couldnt be without my kids Maybe you should go to counseling
3295,sad,I might have to live on my own without wife and child That is if she plans to kick me out of the house eventually 
3306,lonely,Its really devastating But what really happened
3307,lonely,Wow but its your personal life
3308,lonely,they didnt like the guy I was dating at the time
3335,sad,Sorry to hear about your loss Sometimes its better for it to be sudden rather than wait 6 months for the cancer to destroy you
3336,sad,everything passes with time
3337,sad,so decide wisely how it is spent 
3338,sad,I guess so It made me a better person but it did suck at the time
3339,sad,Indeed it does good or bad
3375,lonely,I understand I have been lonely most of my life But it gives it back and it makes up the loneliness part 
3376,lonely,I have a solution for that but I wouldnt advocate you doing it 
3377,lonely,Is there any chance for us to break free from loneliness
3378,lonely,tell me about it
3499,sad,Oh no Is everything okay now
3500,sad,I know thats tough Its scary when your kids go through something like that It never leaves you when its time to do it all over again
3501,sad,Yes thankfully but I couldnt even sleep last night I was so worried ugh
3560,lonely,Have you tried making any
3561,lonely,maybe try going out to concerts or clubs or sporting events somewhere you can find people with common interests
3562,lonely,I have but its pretty tough with my schedule
3566,sad,None that I know of  I feel you if I ever had a daughter Id be overprotective and stressing
3567,sad,Nope lock her in the basement
3568,sad,She is so smart and outgoing I know she is going to want to leave the state for college Nooooo
3569,sad,I think I will
3629,lonely,Oh no Sorry to hear that IS it different now
3630,lonely,Be patient and things will fall into place Youll be fine
3631,lonely,Yes it is Ive got a family of my own now but its hard getting used to
3663,sad,Oh no thats terrible Can you walk maybe with some support at least
3664,sad,I see thats too bad but maybe there will be more marathons you can participate in in the future 
3665,sad,No I have to stay off of it completely I can use crutches but in the heat that will not be worth it
3698,lonely,How far away has she gone
3699,lonely,Any chance you could move too
3700,lonely,Its a six hour drive
3701,lonely,No I cant find a better job than what I have right now
3787,lonely,Oh snap That is not a good thing to hear about
3788,lonely,Well probably should confront him and if hes lying get rid of him
3789,lonely,No its not I dont know what Im going to do but I sure am angry at him
3796,sad,As a fat guy who wore all black and played Magic The Gathering everyday in the library I can relate lol
3797,sad,I never got in any fights but I never got pushed around either
3798,sad,That is good to know But like one time on my way to lunch someone pushed me face first into the wall I just went to the bathroom and cried the rest of the day
3841,lonely,That must have been really hard on you
3842,lonely,At least you had the dog to cheer you up
3843,lonely,It really was When I came home from work it was just me and the dog
3868,sad,have they contacted the lender for a loan modification
3869,sad,I wish there was something I could do to help
3870,sad,Yes they have used up all possible deferments and changes as well as exhaused all help from charity as they were drained due to the moms medical bills
3934,sad,oh that stinks was the milk expired
3935,sad,Were you able to save your meal and get some more milk or something else to drink
3936,sad,spilled spoiled milk i can understand how that was disheartening for you  what did you end up doing for lunch
3937,sad,Yeah it mustve been It only had a day left or so I believe I was trying to be frugal 
3938,sad,No unfortunately I was unable to save the meal The milk spilled everywhere
3939,sad,Oh my goodness you must have stubbed it pretty hard
3940,sad,My husband broke his toe one time and it is permanently bent now It looks pretty goofy 
3941,sad,I did That pesky shower stall had it in for me I suppose Luckily I didnt have to go to the ER
3999,sad,Im sorry Did they get them all
4000,sad,Is it to late to plant more
4001,sad,There were a few left but they had devoured most of them I really liked those flowers
4063,lonely,Did you ask them why 
4064,lonely,I would let things cool down for awhile and maybe they will have a change of heart If not  apologize and see if that helps
4065,lonely,No but I think its because we had a major argument and they all took the other persons side
4080,sad,i know how you feel My best friend lives in a different country
4081,sad,not often at all I saw her in 2011 we skype but its not the same
4082,sad,That must be so hard How often do you see each other
4083,sad,No it isnt at all My BFF and I text and talk on the phone constantly but there is nothing like spending actual time together My son and her son are best friends too and my little boy has been sad ever since they left
4088,sad,That must be very hard on you Im sorry to hear that It must be very scary to experience
4089,sad,Is there anything that can be done from a medical standpoint 
4090,sad,It is like they are dead already without the funeral
4222,sad,15 Wow That has to be tough
4223,sad,I hope it doesnt get to bad for him
4224,sad,Yeah fortunately hes very small so he doesnt have as many joint problems as the bigger dogs I thnik at least
4235,lonely,Yea between kids cleaning and everything else its hard to stay energetic
4236,lonely,Yea then you hae to do it all yourself
4237,lonely,For real  It is worse for me because no one else is here 
4238,lonely,It is so boring
4305,sad,She probably understood
4306,sad,If she is a really good friend then she did Dont worry about it
4307,sad,I hope she did
4308,lonely,Sorry to hear that Is there any chance you two can patch up again
4309,lonely,Oh then try to keep busy yourself so you dont feel alone
4310,lonely,No I think I am just lonely because I dont like him lol
4311,lonely,Thats what I do Ill go on a few dates sooner or later
4335,sad,Its really hot where I live  Im ready for it to be over  Its 100f out side right now and very humit
4336,sad,I guess its different if you live where it gets cold during the winter
4337,sad,Yeah thats too hot I can see your point
4360,sad,Oh no Im so sorry to hear that were you close
4361,sad,Oh thats so sweet I wish I kept in touch with my family too
4362,sad,Yes She called me every year at midnight on my birthday
4363,sad,You should if it isnt too much Family is important
4414,sad,That really sucks Have you put up any posters to help you find him
4415,sad,Well I hope you find him Hopefully nothing bad happened to him
4416,sad,I did but I havent found him yet He usually gets caught up in things so it wouldnt surprise me if he went quite far and lost his way back
4444,lonely,Well even going by yourself you can always have a good time especially with alcohol involved Did you end up having fun
4445,lonely,Thats when you drink more and talk to everyone around you and make a good time for yourself
4446,lonely,I did not I had no one to talk to
4450,sad,Awh man that stinks I never watched it before Im assuming you really liked it
4451,sad,Yep why is it always with the good tv shows that it happens
4452,sad,I just got into the show and it was getting interesting  Always seems to happen
4453,sad,You got that right
4463,lonely,Did you enjoy it
4464,lonely,I bet that was fun and relaxing
4465,lonely,I watched tv and played video games the entire time
4476,lonely,I suppose I have Why did you go to Texas
4477,lonely,Oh no Were you all by yourself
4478,lonely,My boss sent me there On a work trip
4550,sad,Im sure you are going to miss her
4551,sad,Will you be able to communicate through social media
4552,sad,I am Itll probably will take time to adjust to not being able to hang out with her
4582,lonely,I bet that was scary Did you like it
4583,lonely,Were you ever scared 
4584,lonely,It felt really strange to be by myself But I got used to it
4598,sad,Was that difficult And is it your extended family or your immediate family
4599,sad,I know that can be really tough Sometimes though it can strengthen communication  hopefully theyve been able to visit
4600,sad,It was hard I had never been away from them before that
4634,sad,Oh no Im so sorry
4635,sad,I hope time will heal and they dont lose hope
4636,sad,Yeah it sucks  Theyve been trying for years
4637,sad,I think theyre going to try one more time well see
4672,lonely,Why do you usually bring him along
4673,lonely,How far away was it 
4674,lonely,Hes my little traveling companion that keeps me company as I normally make very short trips This one was far away though so I couldnt
4727,lonely,something wrong with your meal or what
4728,lonely,can you kick an innocent dog for nothing
4729,lonely,No my meals were fine I just had to eat alone
4749,sad,That sucks I am sorry for your loss
4750,sad,Maybe you should get a new one
4751,sad,She was always there for me
4761,sad,Oh no I did that last month I still feel bad Get them a gift to say sorry
4762,sad,Give him a call too It is a bit more personal
4763,sad,Definitely I tried to make it up by shooting him a text message but I still feel bad
4771,sad,Oh no where to That is hard
4772,sad,Oh no where to That is hard
4773,sad,Yes and he may never come back
4849,lonely,Im sorry to hear that Did something happen to make you miss them
4850,lonely,Oh no That is hard I have the same issue How far away did you move
4851,lonely,Yeah I live in a new state 
4868,sad,I am so sorry You must be heartbroken
4869,sad,How long was he part of your life
4870,sad,Yes he was my best friend
4897,sad,That is horrible so sad
4898,sad,Yes fire prevention shouldnt be that hard
4899,sad,This kind of tragedy is even worse when it could have been avoided
4966,lonely,I am happy that you have someone to share your life with
4967,lonely,Keep the faith that it will continue
4968,lonely,Thank you I appreciate it I am glad things are going well for a change
5090,lonely,Thats a shame  Im glad that youve got friends now though Why was that
5091,lonely,I thikn lots of people are shy until they find where they belong
5092,lonely,I was still finding myself and aI was very shy
5099,sad,I understand that he seemed to seal his own fate there but still sad
5100,sad,Potentially he seemed a bit deadset but we do not know too much all in all
5101,sad,yea they should have forced him to play a little to see what would happen  maybe he would change his mind
5151,sad,im sorry distance sucks luckily you guys have skype 
5152,sad,I know because sometimes technology doesnt work the way we want it too i hope you get to be together again soon 
5153,sad,Yeah we use it all the time Its annoying to deal with sometimes though And it stinks to only be able to talk and not be able to hang out in person
5254,sad,Oh no I hope you feel better soon Do you want to talk about it
5255,sad,Im so sorry Have you tried reading Rainbow Bridge that could provide some comfort
5256,sad,thanks im just upset because i had to put my dog to sleep 
5278,lonely,That is good you met your girlfriend where did you meet
5279,lonely,Where did you go to college
5280,lonely,We met at college it was a few years ago now
5294,lonely,I can understand that My husband went to a friends to work on his car Im home with 5 kids
5295,lonely,Ha ha No loneliness here I think the biggest worry is craziness
5296,lonely,No need to worry about loneliness then
5313,sad,Im super bummed out I worked really hard for this promotion and I ended up not getting it
5314,sad,Im not sure my boss wont return my request for a meeting emails
5315,sad,Why didnt you get it
5339,lonely,Yes it is when can you see her again 
5340,lonely,well i hope you two get to spend a lot of time together when she comes up 
5341,lonely,Not for four months when she comes to visit for Thanksgiving She isnt able to take a lot of time off of work
5397,sad,ah me too Hearing last season will release in April 2019
5398,sad,it is still such a long wait though
5399,sad,Yeah I really missed it this summer
5400,sad,I am going to cry like I did with the office
5432,lonely,I am so sorry to hear that 
5433,lonely,That must be tough  Do you have supportive friends to help you through this tough time
5434,lonely,Yes she didnt even give me a reason why
5447,lonely,Has he passed or does he just live far away
5448,lonely,I can only imagine  Are you close with your mother
5449,lonely,he has passed away and i just feel alone 
5523,lonely,best place to find one is online
5524,lonely,well you have to keep trying  dont give up
5525,lonely,I am not so sure
5599,lonely,Why is that
5600,lonely,Get a dog
5601,lonely,because sometimes there is no one else at home with me and i dont like being alone
5612,sad,How come
5613,sad,What were you out for
5614,sad,cause i didnt want to go back
5618,lonely,Where did he go
5619,lonely,That is a long time
5620,lonely,He went to abroad for his research study Hell be back in 2 years 
5659,lonely,I am sorry that sounds rough
5660,lonely,I have been there too very lonely
5661,lonely,The worse part was coming home to an empty house just me all there by myself
5735,lonely,Im so sorry what happened
5736,lonely,You must be missing here very much
5737,lonely,She moved far away
5767,sad,Awww man that stinks I thought you two were going well
5768,sad,Yeah but like 10 years of that committed time
5769,sad,yea I guess she had a change of heart some time
5789,lonely,have you asked them 
5790,lonely,they seem like not very nice people im sorry 
5791,lonely,They ignored me when I did
5882,sad,I am sorry to hear that
5883,sad,That isnt too far
5884,sad,She is my favorite and now she is 5 hours away
5885,sad,It is when your car doesnt work lol
5904,sad,That sucks Have you been able to contact the bus company yet and get it back
5905,sad,Oh no Would your phone cost a lot to replace
5906,sad,Im sorry to hear that I hope it turns up
5907,sad,I tried calling them this morning and they said they would check their lost and found I have not heard anything from them yet
5908,sad,Yes it would It was even a relatively new phone so I would be devastated if my phone did not appear
5942,lonely,Oh no really that really sucks to hear Why were you not able to go
5943,lonely,It is sad that you can not go but you are making a good sacrifice to make sure your family will be able to survive Also you could use the alone time to do stuff you are not able to do with them around
5944,lonely,I had to stay home and work
5945,lonely,I am sorry they are sweet animals
5946,lonely,That is adorable
5947,lonely,yea my dog ricky from the secret life of pets
5951,sad,Why did she break up
5952,sad,Did she give you a reason why she didnt love you anymore
5953,sad,Said she didnt love me anymore For 2 weeks i didnt do any homework didnt even go to class half the time for those weeks
5954,sad,Nope just said that I expect she found someone else
5958,lonely,I felt the same way 
5959,lonely,Are they coming back soon
5960,lonely,Its not a good feeling
5982,sad,Im so sorry to hear that
5983,sad,I lost my grandmother last year It is a rough thing to go through
5984,sad,Yeah it was tough
6000,sad,wow im sorry to hear that you still stay in contact
6001,sad,thats good
6002,sad,Yeah we talk daily on FaceBook Really thats the biggest benefit to social media these days
6003,sad,Im hoping he can get a chance to come visit soon social media cant replace face to face contact
6021,sad,Why
6022,sad,Im sorry to hear that
6023,sad,My grandmother just died
6077,sad,Oh no What happened
6078,sad,Dogs can be bad Did he come home
6079,sad,he dug a hole and got out
6168,lonely,Ill be your friend
6169,lonely,I used to have a had time making friends when I was younger 
6170,lonely,why thank you kinda stranger
6194,sad,Oh no Im so sorry
6195,sad,No but Ive had my hours so reduced that it wasnt working going to work due to everything going to union dues and transportation
6196,sad,Thanks for your condolences Im doing alright trying to get over it Have you ever been fired before
6292,lonely,Why is that
6293,lonely,Oh wow you must have a lot of responsibility there
6294,lonely,Its a small company and the other folks in my department just work part time 
6295,lonely,I suppose so but sometimes I get really bored and need to walk to one of the other buildings just so I can say hello to someone
6350,lonely,Dont feel bad many people are experiencing the same feelings  Try to focus on meeting new and interesting people
6351,lonely,Have you tried online dating  Many of my friends have experienced success with apps like eharmony
6352,lonely,I have but it never works out All of my friends are married now
6353,lonely,I did a while back I might try again
6389,lonely,Sorry to hear that Im in the same boat At least I have two dogs with me Do you have any friends around
6390,lonely,Yeah they can be Except these guys get really rowdy when theres a thunderstorm like there will be tonight sadly What about yours
6391,lonely,No but I too have a dog that is great company
6431,lonely,Im sorry to hear that Do you think you struggle to communicate with people
6432,lonely,Shy Yeah I get that I was too until I started getting out more The ability to socialize is a muscle you have to work at
6433,lonely,I am very sky
6494,sad,Im sorry Are you sure you did that bad
6495,sad,Theyll be other interviews
6496,sad,I am and I prepared so much for it Its all quite upsetting
6497,sad,What shows are you thinking of specifically
6498,sad,I didnt realize it was ending You must be disappointed
6499,sad,Game of thrones is the top one I want it to last forever
6500,sad,I am It better end well because there wasnt even a season this year
6508,sad,Oh thats horrible Whos Brian Lawyer
6509,sad,Ive never heard of him but that sucks Howd he die
6510,sad,Oh wow thats horrible
6511,sad,He was a WWE wrestler
6512,sad,He hung himself
6540,lonely,Im sorry to hear that I hope he is in a better place now How old was he
6541,lonely,Oh wow I cant imagine losing my dad at 67 I hope you make it through these hard times stay strong
6542,lonely,He was only 67 He struggled with a heart condition most of his life Thanks for the kind words
6603,lonely,You should put yourself out there and meet some new people  Just start exploring the city and you are bound to meet others
6604,lonely,It is  It isnt healthy to be by yourself for too long  Humans are social creatures
6605,lonely,Youre right I will do that eventually That is a good way to change my situation rather than sulking around
6635,lonely,I know that can be hard  How long has it been since youve been out with someone
6636,lonely,Yeah alot of times you just have to be reminded why you broke up  I know there is someone out there for you just stay positive and they will come your way
